,precision,recall,f1-score,support
busuk,0.9019607843137255,0.92,0.9108910891089109,150.0
segar,0.9183673469387755,0.9,0.9090909090909091,150.0
accuracy,0.91,0.91,0.91,0.91
macro avg,0.9101640656262505,0.91,0.90999099909991,300.0
weighted avg,0.9101640656262505,0.91,0.9099909990999099,300.0
