,precision,recall,f1-score,support
busuk,0.9281045751633987,0.9466666666666667,0.9372937293729374,150.0
segar,0.9455782312925171,0.9266666666666666,0.936026936026936,150.0
accuracy,0.9366666666666666,0.9366666666666666,0.9366666666666666,0.9366666666666666
macro avg,0.936841403227958,0.9366666666666666,0.9366603326999368,300.0
weighted avg,0.9368414032279578,0.9366666666666666,0.9366603326999366,300.0
