,precision,recall,f1-score,support
busuk,0.91875,0.98,0.9483870967741935,150.0
segar,0.9785714285714285,0.9133333333333333,0.9448275862068967,150.0
accuracy,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.9466666666666667
macro avg,0.9486607142857142,0.9466666666666667,0.9466073414905452,300.0
weighted avg,0.9486607142857143,0.9466666666666667,0.9466073414905452,300.0
