,precision,recall,f1-score,support
busuk,0.9419354838709677,0.9733333333333334,0.9573770491803278,150.0
segar,0.9724137931034482,0.94,0.9559322033898304,150.0
accuracy,0.9566666666666667,0.9566666666666667,0.9566666666666667,0.9566666666666667
macro avg,0.957174638487208,0.9566666666666667,0.9566546262850791,300.0
weighted avg,0.957174638487208,0.9566666666666667,0.9566546262850791,300.0
