,precision,recall,f1-score,support
busuk,0.8944099378881988,0.96,0.9260450160771705,150.0
segar,0.9568345323741008,0.8866666666666667,0.9204152249134949,150.0
accuracy,0.9233333333333333,0.9233333333333333,0.9233333333333333,0.9233333333333333
macro avg,0.9256222351311498,0.9233333333333333,0.9232301204953327,300.0
weighted avg,0.9256222351311498,0.9233333333333333,0.9232301204953327,300.0
