,precision,recall,f1-score,support
busuk,0.8860759493670886,0.9333333333333333,0.9090909090909091,150.0
segar,0.9295774647887324,0.88,0.9041095890410958,150.0
accuracy,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9066666666666666
macro avg,0.9078267070779105,0.9066666666666667,0.9066002490660025,300.0
weighted avg,0.9078267070779104,0.9066666666666666,0.9066002490660023,300.0
