,precision,recall,f1-score,support
busuk,0.9144736842105263,0.9266666666666666,0.9205298013245033,150.0
segar,0.9256756756756757,0.9133333333333333,0.9194630872483222,150.0
accuracy,0.92,0.92,0.92,0.92
macro avg,0.920074679943101,0.9199999999999999,0.9199964442864128,300.0
weighted avg,0.920074679943101,0.92,0.9199964442864128,300.0
